  DIA 2016-01-04..2016-02-01: 8,614 bars
  DIA 2021-05-01..2021-06-01: 10,343 bars
  DIA 2021-06-01..2021-07-01: 10,932 bars
  DIA 2021-07-01..2021-08-01: 10,599 bars
  DIA 2021-08-01..2021-09-01: 10,370 bars
  DIA 2021-09-01..2021-10-01: 10,674 bars
  DIA 2021-10-01..2021-11-01: 10,475 bars
  DIA 2021-11-01..2021-12-01: 9,905 bars
  DIA 2021-12-01..2022-01-01: 10,849 bars
  DIA 2022-01-01..2022-02-01: 10,372 bars
  DIA 2022-02-01..2022-03-01: 9,828 bars
  DIA 2022-03-01..2022-04-01: 11,617 bars
  DIA 2022-04-01..2022-05-01: 9,817 bars
  DIA 2022-05-01..2022-06-01: 10,622 bars
  DIA 2022-06-01..2022-07-01: 10,273 bars
  DIA 2022-07-01..2022-08-01: 9,521 bars
  DIA 2022-08-01..2022-09-01: 10,573 bars
  DIA 2022-09-01..2022-10-01: 10,255 bars
  DIA 2022-10-01..2022-11-01: 10,747 bars
  DIA 2022-11-01..2022-12-01: 10,582 bars
  DIA 2022-12-01..2023-01-01: 10,134 bars
  DIA 2023-01-01..2023-02-01: 9,665 bars
  DIA 2023-02-01..2023-03-01: 8,974 bars
  DIA 2023-03-01..2023-04-01: 11,309 bars
  DIA 2023-04-01..2023-05-01: 8,687 bars
  DIA 2023-05-01..2023-06-01: 10,234 bars
  DIA 2023-06-01..2023-07-01: 9,728 bars
  DIA 2023-07-01..2023-08-01: 9,273 bars
  DIA 2023-08-01..2023-09-01: 10,848 bars
  DIA 2023-09-01..2023-10-01: 9,198 bars
  DIA 2023-10-01..2023-11-01: 10,309 bars
  DIA 2023-11-01..2023-12-01: 9,279 bars
  DIA 2023-12-01..2024-01-01: 9,387 bars
  DIA 2024-01-01..2024-02-01: 9,928 bars
  DIA 2024-02-01..2024-03-01: 9,149 bars
  DIA 2024-03-01..2024-04-01: 9,344 bars
  DIA 2024-04-01..2024-05-01: 10,704 bars
  DIA 2024-05-01..2024-06-01: 10,428 bars
  DIA 2024-06-01..2024-07-01: 8,938 bars
  DIA 2024-07-01..2024-08-01: 10,443 bars
  DIA 2024-08-01..2024-09-01: 10,336 bars
  DIA 2024-09-01..2024-10-01: 9,123 bars
  DIA 2024-10-01..2024-11-01: 10,579 bars
  DIA 2024-11-01..2024-12-01: 9,578 bars
  DIA 2024-12-01..2025-01-01: 10,316 bars
  DIA 2025-01-01..2025-02-01: 9,695 bars
  DIA 2025-02-01..2025-03-01: 9,276 bars
  DIA 2025-03-01..2025-04-01: 10,197 bars
  DIA 2025-04-01..2025-05-01: 11,284 bars
  DIA 2025-05-01..2025-06-01: 10,394 bars
  DIA 2025-06-01..2025-07-01: 9,571 bars
  DIA 2025-07-01..2025-08-01: 10,740 bars
  DIA 2025-08-01..2025-09-01: 10,332 bars
  DIA 2025-09-01..2025-10-01: 9,953 bars
  DIA 2025-10-01..2025-11-01: 11,093 bars
  DIA 2025-11-01..2025-12-01: 9,836 bars
  DIA 2025-12-01..2026-01-01: 10,943 bars
  DIA 2026-01-01..2026-02-01: 10,939 bars
  DIA 2026-02-01..2026-03-01: 10,316 bars
  DIA 2026-03-01..2026-04-01: 13,203 bars
  DIA 2026-04-01..2026-05-01: 11,350 bars
  DIA 2026-05-01..2026-06-01: 10,576 bars
  DIA 2026-06-01..2026-07-01: 11,329 bars
  DIA 2026-07-01..2026-08-01: 11,706 bars
  DIA 2026-08-01..2026-09-01: 10,603 bars
  DIA 2026-09-01..2026-09-05: 1,916 bars
# Overnight sleeve: DIA (alpaca), notional $23,000, slip 0.03/share/side, weekend=no

## Summary
```
{
  "nights": 2145,
  "net_pnl": 6841.81,
  "mean_night": 3.19,
  "sd_night": 150.65,
  "win_rate": 0.529,
  "profit_factor": 1.07,
  "sharpe_ann": 0.34,
  "t_stat": 0.98,
  "worst_night": -1572.15,
  "best_night": 1380.37,
  "max_drawdown": -3881.26,
  "nights_below_-700": 5,
  "nights_below_-1000": 2
}
```

## By year
```
      count     sum  mean    std     min
year                                    
2016    201 -2912.7 -14.5  124.3  -684.1
2017    200  1647.5   8.2   58.5  -204.8
2018    199   413.5   2.1  136.1  -489.4
2019    201  2365.9  11.8  110.3  -386.6
2020    204  4428.6  21.7  323.4 -1572.2
2021    203  1233.8   6.1   97.6  -497.8
2022    200 -1670.4  -8.4  169.7  -595.4
2023    199  -410.3  -2.1   92.0  -382.6
2024    200  1372.4   6.9   99.2  -284.7
2025    200 -1294.4  -6.5  134.5  -604.4
2026    138  1667.9  12.1  134.5  -428.3
```

## IN-SAMPLE
```
{
  "nights": 1607,
  "net_pnl": 5095.92,
  "mean_night": 3.17,
  "sd_night": 158.98,
  "win_rate": 0.521,
  "profit_factor": 1.07,
  "sharpe_ann": 0.32,
  "t_stat": 0.8,
  "worst_night": -1572.15,
  "best_night": 1380.37,
  "max_drawdown": -3782.43,
  "nights_below_-700": 5,
  "nights_below_-1000": 2
}
```

## HOLDOUT
```
{
  "nights": 538,
  "net_pnl": 1745.89,
  "mean_night": 3.25,
  "sd_night": 122.45,
  "win_rate": 0.55,
  "profit_factor": 1.08,
  "sharpe_ann": 0.42,
  "t_stat": 0.61,
  "worst_night": -604.39,
  "best_night": 835.73,
  "max_drawdown": -3696.25,
  "nights_below_-700": 0,
  "nights_below_-1000": 0
}
```

## TradeDay $50K static: target $3,000, DD $2,000 (static, locks), DLL $0, consistency 30% of profit, flat by overnight ok CT, bots on funded: True
P(pass) 1x = **28.1%** (median 209.0 days); zero-edge control 16.8%; this history: {'result': 'fail', 'days': 81, 'reason': 'drawdown (intraday touch)', 'balance': -2000}

## TradeDay $100K static: target $6,000, DD $3,000 (static, locks), DLL $0, consistency 30% of profit, flat by overnight ok CT, bots on funded: True
P(pass) 1x = **4.5%** (median 259.5 days); zero-edge control 2.0%; this history: {'result': 'fail', 'days': 120, 'reason': 'drawdown (intraday touch)', 'balance': -3000}

## MyFundedFutures Core $50K: target $3,000, DD $2,000 (eod, locks), DLL $1,000, consistency 50% of profit, flat by 15:10 CT, bots on funded: True
P(pass) 1x = **31.7%** (median 185 days); zero-edge control 20.1%; this history: {'result': 'fail', 'days': 81, 'reason': 'drawdown (intraday touch)', 'balance': -1954.0}
